Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2021-10-02,47856.1004332395,47631.0283833956,48456.2213232386,47472.2073954941
BTC,2021-10-03,48009.0769645409,47882.6404989551,48254.3148019872,47224.2755113479
BTC,2021-10-04,48974.9456356863,48891.7451131426,49143.3154039038,46959.1571375727
BTC,2021-10-05,50165.5875014603,49288.606837486,50369.8218733544,48614.0565343028
BTC,2021-10-06,54696.0897006352,50167.9142882235,55287.6051770918,50164.2050722579
BTC,2021-10-07,54171.5932942929,54554.5244657295,55700.4457212252,53366.5149081607
BTC,2021-10-08,54226.3987572131,54145.1222282472,56049.816899304,53611.952101132
BTC,2021-10-09,54773.865516369,54287.2503417666,55360.2007757058,53683.3507373893
BTC,2021-10-10,55256.4314504197,54905.3371093549,56044.5240582308,54116.6985784441
BTC,2021-10-11,57432.1443766219,55327.4949113984,57759.9976811266,54448.0870588956
BTC,2021-10-12,55798.6508559527,57424.2835473045,57748.3954729188,55554.0033962026
BTC,2021-10-13,56869.2869340265,55916.1567061844,57216.5888746133,54021.9878459414
BTC,2021-10-14,57206.804854607,56876.6040375726,58502.5724317484,56840.232938809
BTC,2021-10-15,61703.7271763166,57193.353141946,61705.6436852633,56857.1496244216
BTC,2021-10-16,60443.6773981609,61729.4404208148,62839.7385285075,60101.3111774342
BTC,2021-10-17,61019.3836405782,60538.869673066,61375.7033743685,60281.3361845086
BTC,2021-10-18,62090.1370537537,60987.3347927182,62638.56190862,59003.0965938733
BTC,2021-10-19,63185.9186816871,61748.2638909028,63460.1357063499,61049.3337160513
BTC,2021-10-20,66476.2834865627,63399.638832082,66915.5004368268,63090.5259600644
BTC,2021-10-21,62910.9613334201,66362.5564561956,66687.1780823823,62290.325375543
BTC,2021-10-22,62920.1926219447,62498.3468805319,63485.2016808636,62061.1834058903
