Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2021-10-02,3422.0419263918,3277.4462214671,3446.3497253901,3256.788613301
ETH,2021-10-03,3414.334040471,3429.80890843,3467.4300801806,3360.1274689375
ETH,2021-10-04,3391.2051150064,3463.161194068,3485.6964068976,3275.9169146929
ETH,2021-10-05,3437.4145548217,3410.7862034869,3473.4556037358,3365.4393609179
ETH,2021-10-06,3576.3391994921,3435.2422868542,3629.2771169638,3345.5453898041
ETH,2021-10-07,3605.0619261419,3575.3458148417,3633.0738236897,3470.5380965259
ETH,2021-10-08,3618.7182955025,3607.2181567998,3666.4767298609,3548.2936280258
ETH,2021-10-09,3588.1262032287,3624.4247023983,3641.6150183103,3538.6362965141
ETH,2021-10-10,3520.3194044174,3592.824076156,3603.4633542971,3486.413810196
ETH,2021-10-11,3575.1372227412,3522.0430918405,3623.5231007484,3374.0069701138
ETH,2021-10-12,3494.7690372014,3564.1321852371,3574.0145148787,3407.8862060372
ETH,2021-10-13,3509.9175722423,3487.0235811746,3530.7395535908,3412.3766389646
ETH,2021-10-14,3797.3744504801,3509.9078054591,3823.7339530521,3509.9078054591
ETH,2021-10-15,3861.441197806,3791.7654301092,3867.322790639,3734.4958600924
ETH,2021-10-16,3859.2314705811,3854.5506770352,3965.9430131005,3821.8667216226
ETH,2021-10-17,3809.3362856402,3866.1793635526,3914.6410535223,3765.1922009564
ETH,2021-10-18,3744.3398112521,3802.0597014556,3891.8807456636,3648.6586847784
ETH,2021-10-19,3805.0541292929,3730.5456865346,3859.179238269,3697.4593265067
ETH,2021-10-20,4080.4935724171,3811.689757916,4111.3348088949,3796.5589972935
ETH,2021-10-21,4080.9544626752,4075.8363652735,4370.1418877892,4024.7404033416
ETH,2021-10-22,4133.0426674152,4046.3683456587,4166.5099930654,4043.0813557818
