Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LTC,2021-10-02,170.9975855247,166.03669126,172.5071076961,164.6873815496
LTC,2021-10-03,170.4231197648,171.5390281933,172.7172538652,166.0555558121
LTC,2021-10-04,166.6305380618,173.4431044288,174.8999728934,161.5945619012
LTC,2021-10-05,169.0179939864,167.6303444753,173.9005408728,166.1927484772
LTC,2021-10-06,181.6182737569,170.562232226,182.899279477,164.0352563072
LTC,2021-10-07,179.7223070163,181.2091565889,186.4940477174,173.5026162647
LTC,2021-10-08,177.8938539916,179.2411791547,183.2095422826,175.3185891626
LTC,2021-10-09,180.1975097094,178.6000678873,182.8271058,174.595401545
LTC,2021-10-10,178.8936720104,180.7944009183,183.9080494618,176.3596421351
LTC,2021-10-11,181.2785862863,178.8402584357,185.3324101949,172.5719093097
LTC,2021-10-12,171.2164892886,180.2102911978,180.4805503029,166.8862880471
LTC,2021-10-13,175.4189730736,170.5689926482,178.9107848221,167.7372259969
LTC,2021-10-14,182.1056140838,174.9368096078,186.3894041487,174.4858758982
LTC,2021-10-15,189.6728606366,182.1210208279,191.8602483963,176.8357331845
LTC,2021-10-16,187.0352989593,191.0836125287,192.7257626199,185.9450200918
LTC,2021-10-17,184.4869829201,186.8631792316,187.832822952,183.1466010349
LTC,2021-10-18,184.4371743063,184.4321857708,187.1568752155,176.5602232442
LTC,2021-10-19,186.7521477186,183.5738620898,191.5307127523,182.3081187699
LTC,2021-10-20,207.3726145977,186.8393325487,209.229773111,185.2550263145
LTC,2021-10-21,197.8494804794,206.2685764785,214.5124004629,195.7846249156
LTC,2021-10-22,199.4613450826,196.4119956513,201.3641069981,196.3755397802
