Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XRP,2021-10-02,1.047195808,1.0287139316,1.0595625169,1.0086716225
XRP,2021-10-03,1.0625102597,1.0497347148,1.0834095632,1.0264800771
XRP,2021-10-04,1.0430983776,1.0809312998,1.0877756639,1.0080464727
XRP,2021-10-05,1.063193994,1.0488752423,1.082711889,1.0322635637
XRP,2021-10-06,1.0867317044,1.063719031,1.1070463648,1.0188403739
XRP,2021-10-07,1.0704400014,1.0874570105,1.0938775493,1.0431741429
XRP,2021-10-08,1.0694929577,1.068999415,1.091423074,1.0591983345
XRP,2021-10-09,1.1672306539,1.0691552528,1.1984162867,1.0563898915
XRP,2021-10-10,1.1734638432,1.1744055701,1.2228307391,1.1349062415
XRP,2021-10-11,1.1484733663,1.1748305624,1.1869523675,1.126974645
XRP,2021-10-12,1.0957828135,1.1457014779,1.1468785879,1.0666322947
XRP,2021-10-13,1.1166023122,1.0904617098,1.1245658186,1.0752277834
XRP,2021-10-14,1.1343289074,1.1140697708,1.1576767209,1.1033991927
XRP,2021-10-15,1.1349755136,1.1320617306,1.1646513624,1.0932279066
XRP,2021-10-16,1.1471866878,1.1340977014,1.1850688187,1.1307736369
XRP,2021-10-17,1.1202169092,1.1471348606,1.1471413841,1.1101553568
XRP,2021-10-18,1.0849527641,1.1183477902,1.1215953774,1.0208079826
XRP,2021-10-19,1.0866594909,1.0802622339,1.1003701418,1.0671408046
XRP,2021-10-20,1.1409538134,1.0891673781,1.150327718,1.0758773351
XRP,2021-10-21,1.1011119488,1.1396234541,1.1634529699,1.0922393381
XRP,2021-10-22,1.1045866493,1.095539953,1.109147196,1.0855955469
