Date,Price
11/10/18,6619.495845
12/10/18,6285.859203
13/10/18,6309.198921
14/10/18,6331.131154
15/10/18,6361.417016
16/10/18,6721.587503
17/10/18,6724.833078
18/10/18,6444.74701
19/10/18,6374.648863
20/10/18,6372.686817
21/10/18,6407.479085
22/10/18,6412.530491
23/10/18,6396.880154
24/10/18,6396.252324
25/10/18,6407.667175
26/10/18,6405.500726
27/10/18,6392.179337
28/10/18,6429.687141
30/10/18,6266.189683
31/10/18,6276.4645
01/11/18,6321.713671
02/11/18,6341.094813
03/11/18,6360.141272
04/11/18,6344.738943
05/11/18,6405.139755
06/11/18,6396.352124
07/11/18,6425.917802
08/11/18,6514.489453
09/11/18,6412.524289
10/11/18,6343.632504
11/11/18,6365.655232
12/11/18,6327.480646
13/11/18,6327.154696
14/11/18,6282.438677
15/11/18,5524.801093
16/11/18,5511.152834
17/11/18,5448.600634
18/11/18,5497.411279
19/11/18,5553.014895
20/11/18,4800.342897
21/11/18,4246.312774
22/11/18,4478.299558
23/11/18,4405.744031
24/11/18,4329.91722
25/11/18,3728.872648
26/11/18,3951.205029
27/11/18,3640.557165
28/11/18,3792.192364
29/11/18,4174.319972
30/11/18,4218.608363
01/12/18,3952.447895
02/12/18,4178.603828
03/12/18,4118.518242
04/12/18,3847.032737
05/12/18,3889.29212
06/12/18,3713.573383
07/12/18,3578.206624
08/12/18,3391.874146
09/12/18,3452.616185
10/12/18,3507.306367
11/12/18,3419.733768
12/12/18,3360.946628
13/12/18,3414.833749
14/12/18,3263.547913
15/12/18,3212.207081
16/12/18,3194.962272
17/12/18,3200.642468
18/12/18,3478.461203
19/12/18,3562.894946
20/12/18,3709.316759
21/12/18,4065.799953
22/12/18,3824.739794
23/12/18,3862.726329
24/12/18,3949.794342
25/12/18,4054.29626
26/12/18,3767.350024
27/12/18,3807.153022
28/12/18,3587.198223
29/12/18,3865.5293
30/12/18,3725.48
31/12/18,3832.4
01/01/19,3689.56462
02/01/19,3715.564441
03/01/19,3882.304754
04/01/19,3795.592741
05/01/19,3812.381108
06/01/19,3809.914343
07/01/19,4014.133187
08/01/19,3989.631741
09/01/19,3992.986144
10/01/19,3995.325193
11/01/19,3617.346291
12/01/19,3606.16489
13/01/19,3611.528238
14/01/19,3497.669392
15/01/19,3654.347067
16/01/19,3568.751259
17/01/19,3593.72174
18/01/19,3623.717337
19/01/19,3605.855187
20/01/19,3690.908564
21/01/19,3544.221724
22/01/19,3528.463529
23/01/19,3581.551947
24/01/19,3549.770799
25/01/19,3562.920476
26/01/19,3566.666164
27/01/19,3563.27801
28/01/19,3539.620947
29/01/19,3425.262161
30/01/19,3395.018645
31/01/19,3441.032215
01/02/19,3420.633227
02/02/19,3439.805699
03/02/19,3433.035285
04/02/19,3404.499313
05/02/19,3412.230431
06/02/19,3419.767899
07/02/19,3367.519032
08/02/19,3360.534076
09/02/19,3591.022152
10/02/19,3617.46468
11/02/19,3621.154003
12/02/19,3593.183177
13/02/19,3579.341881
14/02/19,3569.554833
15/02/19,3558.396858
16/02/19,3566.247765
17/02/19,3596.405191
18/02/19,3606.151988
19/02/19,3865.318165
20/02/19,3904.48292
21/02/19,3924.739844
22/02/19,3889.758485
23/02/19,3933.60759
24/02/19,4105.112759
25/02/19,3763.620516
26/02/19,3819.865341
27/02/19,3797.58179
28/02/19,3772.936335
01/03/19,3799.678543
02/03/19,3811.611979
03/03/19,3804.41917
04/03/19,3782.664101
05/03/19,3689.862893
06/03/19,3832.080885
07/03/19,3848.95637
08/03/19,3859.839983
09/03/19,3828.371904
10/03/19,3898.86846
11/03/19,3899.655869
12/03/19,3851.24919
13/03/19,3866.295946
14/03/19,3846.274442
15/03/19,3855.744363
16/03/19,3892.052301
17/03/19,3985.851236
18/03/19,3970.389045
19/03/19,3974.415764
20/03/19,3996.037131
21/03/19,4027.787395
22/03/19,3974.811429
23/03/19,3987.305225
24/03/19,3977.707443
25/03/19,3968.438701
26/03/19,3913.781717
27/03/19,3915.37532
28/03/19,4018.59051
29/03/19,4008.370872
30/03/19,4080.260114
31/03/19,4081.221605
